id,avis,label,categorie,difficulte
1,"Le service client a été très rapide et très professionnel.",positif,support,simple
2,"Je suis très déçu, ma commande est arrivée cassée.",négatif,produit,simple
3,"Votre demande a été enregistrée.",neutre,administratif,simple
4,"Le produit est bon mais la livraison a été beaucoup trop longue.",mitigé,livraison,opinion_mixte
5,"Super, encore une panne de l'application.",négatif,application,sarcasme
6,"Commande reçue aujourd'hui.",neutre,livraison,factuel
7,"Paiement refusé alors que ma carte fonctionne ailleurs.",négatif,paiement,problème
8,"Pas mal du tout, je pensais être déçu.",positif,general,négation_positive
9,"Le remboursement est enfin arrivé après trois semaines.",mitigé,remboursement,opinion_mixte
10,"Application claire, rapide et agréable à utiliser.",positif,application,simple
11,"Mon colis a été livré à la mauvaise adresse.",négatif,livraison,problème
12,"Le technicien est intervenu dans les délais prévus.",positif,support,simple
13,"Facture reçue par email.",neutre,administratif,factuel
14,"Je n'arrive pas à me connecter à mon compte depuis deux jours.",négatif,application,problème
15,"Le produit correspond parfaitement à la description.",positif,produit,simple
16,"Trop cher pour ce que c'est.",négatif,produit,opinion_mixte
17,"Remboursement effectué sous 5 jours ouvrés.",neutre,remboursement,factuel
18,"Franchement bluffé par la qualité de l'emballage.",positif,produit,simple
19,"Mon conseiller n'a pas su répondre à mes questions.",négatif,support,problème
20,"L'interface est intuitive mais il manque quelques fonctionnalités.",mitigé,application,opinion_mixte
21,"Bravo pour la rapidité de traitement de mon dossier !",positif,administratif,simple
22,"Troisième fois que je commande, toujours satisfait.",positif,general,simple
23,"Je suis censé recevoir une réponse sous 48h, on attend toujours.",négatif,support,sarcasme
24,"Mise à jour reçue, merci.",neutre,application,factuel
25,"La couleur ne correspond pas du tout aux photos.",négatif,produit,problème
26,"Délai de livraison annoncé 3 jours, reçu en 6.",négatif,livraison,problème
27,"L'article est honnêtement bien, rapport qualité-prix correct.",mitigé,produit,opinion_mixte
28,"Mon compte a été créé avec succès.",neutre,administratif,factuel
29,"Je n'aurais pas pensé être aussi content de cet achat.",positif,produit,négation_positive
30,"Application impossible à utiliser sur Android.",négatif,application,problème
31,"Votre service est au top, continuez comme ça !",positif,support,simple
32,"Livraison express, parfaite.",positif,livraison,simple
33,"Prélèvement effectué deux fois sur mon compte.",négatif,paiement,problème
34,"Pas exactement ce que j'attendais mais ça fera l'affaire.",mitigé,produit,opinion_mixte
35,"Ah oui, super, encore un bug au moment du paiement.",négatif,paiement,sarcasme
36,"Dossier transmis à notre équipe technique.",neutre,administratif,factuel
37,"Quelle réactivité ! Réponse reçue en moins d'une heure.",positif,support,simple
38,"Le produit est arrivé sans notice d'utilisation.",négatif,produit,problème
39,"Je ne m'attendais pas à un service aussi soigné.",positif,support,négation_positive
40,"La page de paiement plante systématiquement.",négatif,application,problème
41,"Commande annulée comme demandé.",neutre,administratif,factuel
42,"Le packaging est vraiment soin, on sent l'attention portée aux détails.",positif,produit,simple
43,"J'aurais aimé être prévenu du retard par un email.",mitigé,livraison,opinion_mixte
44,"Impossible de parler à un humain, que des bots.",négatif,support,problème
45,"Bon produit, livraison un peu longue, dans l'ensemble satisfait.",mitigé,general,opinion_mixte
46,"Votre assistant virtuel ne comprend rien à mes questions.",négatif,application,problème
47,"Ticket de support ouvert le 3, toujours sans réponse le 10.",négatif,support,problème
48,"Mes points de fidélité ont bien été crédités.",neutre,administratif,factuel
49,"Super application, je l'utilise tous les jours.",positif,application,simple
50,"Le livreur a laissé le colis devant la porte sans sonner.",mitigé,livraison,opinion_mixte
51,"Je ne pensais pas que ça marcherait si bien.",positif,produit,négation_positive
52,"Paiement en plusieurs fois disponible, c'est appréciable.",positif,paiement,simple
53,"On m'a dit que je serais remboursé, j'attends encore.",négatif,remboursement,problème
54,"Le chat en ligne est utile mais les réponses sont trop génériques.",mitigé,support,opinion_mixte
55,"Numéro de suivi non fonctionnel depuis 4 jours.",négatif,livraison,problème
56,"Formulaire de réclamation envoyé.",neutre,administratif,factuel
57,"Je suis agréablement surpris par la qualité du tissu.",positif,produit,simple
58,"Votre politique de retour est un vrai parcours du combattant.",négatif,remboursement,problème
59,"Retour pris en charge sans problème.",positif,remboursement,simple
60,"Encore un email automatique sans réponse à ma vraie question.",négatif,support,sarcasme
61,"Application mise à jour ce matin, tout fonctionne maintenant.",positif,application,simple
62,"La taille est conforme au guide des tailles.",neutre,produit,factuel
63,"Mon problème a finalement été résolu après plusieurs échanges.",mitigé,support,opinion_mixte
64,"Je n'ai jamais eu de problème avec vos livraisons.",positif,livraison,négation_positive
65,"Le service après-vente est débordé, délais d'attente énormes.",négatif,support,problème
66,"Produit reçu en parfait état, conforme à la commande.",positif,produit,simple
67,"J'ai dû appeler trois fois avant d'obtenir une réponse.",négatif,support,problème
68,"Votre appli est la seule que j'utilise pour mes achats.",positif,application,simple
69,"Remboursement partiel effectué, on attend la suite.",mitigé,remboursement,opinion_mixte
70,"Votre site est en maintenance depuis hier, génial.",négatif,application,sarcasme
71,"Carte cadeau activée avec succès.",neutre,administratif,factuel
72,"Le produit est exactement comme sur les photos, très belle qualité.",positif,produit,simple
73,"Suivi de commande peu précis, on ne sait pas où est le colis.",mitigé,livraison,opinion_mixte
74,"J'ai été surpris en mal par la durée d'attente.",négatif,support,simple
75,"Options de paiement variées, c'est pratique.",positif,paiement,simple
76,"Livraison à domicile non respectée, colis en point relais.",négatif,livraison,problème
77,"Votre équipe a fait un excellent travail sur mon dossier.",positif,support,simple
78,"Je n'aurais pas commandé si j'avais su les délais réels.",négatif,livraison,négation_positive
79,"Tout s'est passé comme prévu.",neutre,general,factuel
80,"Les frais de livraison sont honnêtes.",mitigé,livraison,opinion_mixte
81,"Mon compte a été piraté et votre support n'a pas pris ça au sérieux.",négatif,support,problème
82,"Bel emballage, produit solide, je recommande.",positif,produit,simple
83,"Je ne vois pas pourquoi on critique autant ce service.",positif,general,négation_positive
84,"Le produit sent mauvais à l'ouverture.",négatif,produit,problème
85,"Réclamation prise en compte.",neutre,administratif,factuel
86,"Excellente expérience d'achat du début à la fin.",positif,general,simple
87,"Le service est bien mais les prix ont beaucoup augmenté.",mitigé,general,opinion_mixte
88,"J'attends mon remboursement depuis plus d'un mois.",négatif,remboursement,problème
89,"Vraiment top, je n'ai rien à reprocher.",positif,general,simple
90,"Super, la commande a disparu de mon espace client.",négatif,application,sarcasme
91,"Statut de commande mis à jour.",neutre,administratif,factuel
92,"Le produit est robuste et bien conçu.",positif,produit,simple
93,"Je n'attendais pas grand chose et j'ai été positivement surpris.",positif,produit,négation_positive
94,"Livraison correcte mais sans vrai suivi.",mitigé,livraison,opinion_mixte
95,"Impossible de modifier mon adresse de livraison en ligne.",négatif,application,problème
96,"L'agent du support a été patient et clair dans ses explications.",positif,support,simple
97,"Produit de mauvaise qualité pour ce prix.",négatif,produit,problème
98,"Abonnement résilié selon votre demande.",neutre,administratif,factuel
99,"Petite déception sur la finition mais globalement satisfait.",mitigé,produit,opinion_mixte
100,"Votre appli sait comment rendre une expérience frustrante.",négatif,application,sarcasme
101,"Commande expédiée en moins de 24h, impressionnant.",positif,livraison,simple
102,"Je n'aurais pas cru qu'un service client pouvait être aussi efficace.",positif,support,négation_positive
103,"Paiement sécurisé et rapide.",positif,paiement,simple
104,"Ma commande a été perdue, j'ai dû relancer trois fois.",négatif,livraison,problème
105,"Un peu surpris par l'absence d'email de confirmation.",mitigé,administratif,opinion_mixte
106,"L'application se ferme seule lors du paiement.",négatif,application,problème
107,"Votre nouveau design est bien plus agréable.",positif,application,simple
108,"J'aurais préféré un emballage plus sobre.",mitigé,produit,opinion_mixte
109,"Adresse de facturation modifiée avec succès.",neutre,administratif,factuel
110,"Bon produit dans l'ensemble, quelques défauts mineurs.",mitigé,produit,opinion_mixte
111,"La qualité n'est pas au rendez-vous pour ce prix.",négatif,produit,problème
112,"Excellent rapport qualité-prix.",positif,produit,simple
113,"Mon livreur a été très aimable.",positif,livraison,simple
114,"Je n'ai aucune plainte à formuler.",positif,general,négation_positive
115,"Le site met du temps à charger.",mitigé,application,opinion_mixte
116,"Votre politique de confidentialité est très longue à lire.",mitigé,administratif,opinion_mixte
117,"Taille plus petite que prévu, décevant.",négatif,produit,problème
118,"Je ne pensais pas recevoir mon colis aussi vite.",positif,livraison,négation_positive
119,"Code promo non appliqué lors du paiement.",négatif,paiement,problème
120,"Dossier traité dans les délais.",neutre,administratif,factuel
121,"Le service est fiable mais un peu impersonnel.",mitigé,support,opinion_mixte
122,"Produit conforme, rien à signaler.",neutre,produit,factuel
123,"J'ai attendu 40 minutes en ligne avant d'avoir quelqu'un.",négatif,support,problème
124,"Belle surprise, le produit est encore mieux en vrai.",positif,produit,simple
125,"L'appli plante souvent sur iOS 17.",négatif,application,problème
126,"Votre service ne déçoit jamais.",positif,general,simple
127,"Je n'ai pas eu à relancer, c'est rare.",positif,support,négation_positive
128,"Suivi de livraison en temps réel, vraiment pratique.",positif,livraison,simple
129,"Le produit est arrivé abîmé malgré l'emballage.",négatif,produit,problème
130,"Notifications push désactivées selon votre demande.",neutre,administratif,factuel
131,"Je suis globalement content, mais la livraison m'a déçu.",mitigé,livraison,opinion_mixte
132,"Le chat bot ne comprend pas les questions complexes.",négatif,support,problème
133,"Je recommanderais ce service sans hésiter.",positif,general,simple
134,"Super, la promo s'est terminée juste avant que je passe commande.",négatif,paiement,sarcasme
135,"Retour validé, avoir disponible sur votre compte.",neutre,remboursement,factuel
136,"La qualité de fabrication est vraiment sérieuse.",positif,produit,simple
137,"Commande reçue mais un article manquant.",négatif,produit,problème
138,"L'interface mobile est bien pensée.",positif,application,simple
139,"Je ne m'attendais pas à un aussi bon emballage.",positif,produit,négation_positive
140,"Frais de port gratuits à partir de 30 euros, c'est logique.",neutre,paiement,factuel
141,"Votre service de remboursement est une vraie épreuve.",négatif,remboursement,problème
142,"Application fonctionnelle et sans fioritures.",positif,application,simple
143,"Le produit est bien mais les instructions sont en anglais seulement.",mitigé,produit,opinion_mixte
144,"Je n'ai jamais eu à me plaindre de vos livraisons.",positif,livraison,négation_positive
145,"Formulaire de retour trop complexe.",négatif,remboursement,problème
146,"Photo de livraison disponible dans l'appli.",neutre,livraison,factuel
147,"Votre support a réglé mon problème en moins de 10 minutes.",positif,support,simple
148,"Produit différent de celui commandé.",négatif,produit,problème
149,"Je suis surpris par l'absence de suivi après achat.",négatif,support,problème
150,"Application légère et rapide à charger.",positif,application,simple
151,"Remboursement reçu, merci pour la réactivité.",positif,remboursement,simple
152,"Le livreur ne sonne pas et repart aussitôt.",négatif,livraison,problème
153,"Franchement, je ne pensais pas que vous vous en sortiriez aussi bien.",positif,support,négation_positive
154,"Les photos du produit sont trompeuses.",négatif,produit,problème
155,"Commande confirmée par email.",neutre,administratif,factuel
156,"La navigation sur le site est fluide et agréable.",positif,application,simple
157,"Encore un retard sans explication.",négatif,livraison,sarcasme
158,"Je ne comprends pas pourquoi mon paiement a été refusé.",négatif,paiement,problème
159,"Votre espace client est bien organisé.",positif,application,simple
160,"Quelques jours d'attente mais le résultat en valait la peine.",mitigé,livraison,opinion_mixte
161,"Mon conseiller a vraiment fait preuve de professionnalisme.",positif,support,simple
162,"Produit de qualité médiocre, ne tient pas ses promesses.",négatif,produit,problème
163,"Je n'ai aucun regret concernant cet achat.",positif,produit,négation_positive
164,"Mot de passe réinitialisé avec succès.",neutre,administratif,factuel
165,"Délai de remboursement trop long.",négatif,remboursement,problème
166,"L'équipe a su trouver une solution rapidement.",positif,support,simple
167,"Votre FAQ répond rarement aux vraies questions.",négatif,support,problème
168,"Belle qualité, je suis impressionné.",positif,produit,simple
169,"La commande est bien arrivée mais sans facture.",mitigé,administratif,opinion_mixte
170,"Super, ma carte a encore été débitée deux fois.",négatif,paiement,sarcasme
171,"Colis remis en main propre, parfait.",positif,livraison,simple
172,"Je ne m'attendais pas à ce niveau de qualité pour ce prix.",positif,produit,négation_positive
173,"Votre application manque de fonctionnalités importantes.",mitigé,application,opinion_mixte
174,"Le service client m'a rappelé comme promis.",positif,support,simple
175,"Article endommagé à la réception.",négatif,produit,problème
176,"Connexion au compte sécurisée et rapide.",positif,application,simple
177,"Le remboursement est en cours de traitement.",neutre,remboursement,factuel
178,"Vraiment nul, ne commandez pas là.",négatif,general,simple
179,"Bon produit mais notice illisible.",mitigé,produit,opinion_mixte
180,"Je ne peux pas croire que ce service soit aussi efficace.",positif,support,négation_positive
181,"Livraison en deux jours comme annoncé.",positif,livraison,simple
182,"Le service est irréprochable.",positif,general,simple
183,"Impossible de mettre à jour mes informations bancaires.",négatif,paiement,problème
184,"J'aurai préféré plus d'options de livraison.",mitigé,livraison,opinion_mixte
185,"Votre bot est vraiment très intelligent, il ne comprend rien.",négatif,support,sarcasme
186,"Email de suivi reçu.",neutre,administratif,factuel
187,"L'accessoire fourni est de très bonne facture.",positif,produit,simple
188,"Le produit est fragile et casse rapidement.",négatif,produit,problème
189,"Je ne pensais pas que le service serait aussi attentif.",positif,support,négation_positive
190,"Paiement en ligne simple et intuitif.",positif,paiement,simple
191,"Commande reçue avec une pièce manquante.",négatif,produit,problème
192,"Je suis mitigé, certains points sont bons, d'autres non.",mitigé,general,opinion_mixte
193,"L'application charge très lentement.",négatif,application,problème
194,"Merci pour le geste commercial !",positif,remboursement,simple
195,"Je n'avais pas de grandes attentes et j'ai été agréablement surpris.",positif,produit,négation_positive
196,"Votre équipe de livraison est aux petits soins.",positif,livraison,simple
197,"J'ai signalé le problème il y a une semaine, pas de retour.",négatif,support,problème
198,"Produit emballé avec soin.",positif,produit,simple
199,"Ah tiens, la livraison promise pour aujourd'hui est repoussée à jeudi.",négatif,livraison,sarcasme
200,"Mot de passe mis à jour.",neutre,administratif,factuel
201,"Le produit dépasse mes attentes.",positif,produit,simple
202,"Je ne comprends pas la facture reçue.",négatif,administratif,problème
203,"Service clientèle joignable rapidement.",positif,support,simple
204,"Livraison retardée à cause de votre transporteur.",négatif,livraison,problème
205,"L'appli est bien pensée pour les débutants.",positif,application,simple
206,"J'ai dû attendre 3 semaines pour une réponse simple.",négatif,support,problème
207,"Les coordonnées de livraison étaient incorrectes mais vous les avez corrigées.",mitigé,livraison,opinion_mixte
208,"Je n'aurais jamais imaginé un service si rapide.",positif,support,négation_positive
209,"Montant débité incorrect.",négatif,paiement,problème
210,"Votre service est le meilleur que j'ai utilisé.",positif,general,simple
211,"Réclamation enregistrée sous le numéro 44521.",neutre,administratif,factuel
212,"Le design de l'emballage est soigné.",positif,produit,simple
213,"Je pensais être déçu et finalement non.",positif,general,négation_positive
214,"Mon adresse email n'est pas reconnue par votre système.",négatif,application,problème
215,"Livraison à l'heure, coursier sympathique.",positif,livraison,simple
216,"Trop de pubs dans l'application.",négatif,application,problème
217,"La commande est toujours en attente de traitement après 5 jours.",négatif,livraison,problème
218,"Le service de chat est disponible 24h/24, c'est très bien.",positif,support,simple
219,"Je ne vois pas l'intérêt de cette mise à jour.",mitigé,application,opinion_mixte
220,"Votre site plante systématiquement sur Firefox.",négatif,application,problème
221,"Produit reçu en avance, super !",positif,livraison,simple
222,"Le code de réduction a bien été pris en compte.",positif,paiement,simple
223,"Mon remboursement a pris du temps mais il est arrivé.",mitigé,remboursement,opinion_mixte
224,"Je n'avais pas vu les avis négatifs et maintenant je comprends.",négatif,general,négation_positive
225,"La mise en rayon est bien organisée sur le site.",positif,application,simple
226,"Je reçois trop d'emails de votre part.",mitigé,administratif,opinion_mixte
227,"Super service, livraison rapide, produit conforme.",positif,general,simple
228,"Votre service m'a sauvé la mise, merci.",positif,support,simple
229,"Je ne pensais pas avoir besoin d'aide mais votre équipe a bien aidé.",positif,support,négation_positive
230,"Bon sang, j'attends ma commande depuis 15 jours.",négatif,livraison,problème
231,"L'article est beau, conforme, je suis ravi.",positif,produit,simple
232,"Notification de livraison reçue.",neutre,livraison,factuel
233,"Le produit est bien mais l'odeur à l'ouverture est forte.",mitigé,produit,opinion_mixte
234,"Je ne voudrais pas commander ailleurs après cette expérience.",positif,general,négation_positive
235,"Mon dossier a été traité plus vite que prévu.",positif,administratif,simple
236,"L'appli perd ma session à chaque fois.",négatif,application,problème
237,"Franchement bravo, vous avez géré une situation délicate avec beaucoup de professionnalisme.",positif,support,simple
238,"Je dois encore patienter pour le remboursement.",mitigé,remboursement,opinion_mixte
239,"Encore un message automatique inutile.",négatif,support,sarcasme
240,"Confirmation de résiliation envoyée par email.",neutre,administratif,factuel
241,"Le produit est exactement ce qu'il me fallait.",positif,produit,simple
242,"Votre garantie ne couvre rien d'utile.",négatif,remboursement,problème
243,"Je ne savais pas que vous proposiez un tel service, agréable surprise.",positif,support,négation_positive
244,"Le livreur a cassé quelque chose en forçant le portail.",négatif,livraison,problème
245,"Appli intuitive, aucun bug rencontré.",positif,application,simple
246,"Commande annulée automatiquement sans raison.",négatif,general,problème
