id,avis,label,categorie,difficulte,clean_avis,tokens_count,text_without_stopwords,processed_avis
1,Le service client a été très rapide et très professionnel.,positif,support,simple,le service client a été très rapide et très professionnel,10,service client été rapide professionnel,service client éter rapide professionnel
2,"Je suis très déçu, ma commande est arrivée cassée.",négatif,produit,simple,je suis très déçu ma commande est arrivée cassée,9,suis déçu commande arrivée cassée,suis décevoir commande arriver casser
3,Votre demande a été enregistrée.,neutre,administratif,simple,votre demande a été enregistrée,5,demande été enregistrée,demande éter enregistrer
4,Le produit est bon mais la livraison a été beaucoup trop longue.,mitigé,livraison,opinion_mixte,le produit est bon mais la livraison a été beaucoup trop longue,12,produit bon livraison été beaucoup trop longue,produit bon livraison éter beaucoup trop long
5,"Super, encore une panne de l'application.",négatif,application,sarcasme,super encore une panne de l'application,6,super encore panne l'application,super encore panne l'application
6,Commande reçue aujourd'hui.,neutre,livraison,factuel,commande reçue aujourd'hui,3,commande reçue aujourd'hui,commande recevoir aujourd'hui
7,Paiement refusé alors que ma carte fonctionne ailleurs.,négatif,paiement,problème,paiement refusé alors que ma carte fonctionne ailleurs,8,paiement refusé alors carte fonctionne ailleurs,paie refuser alors carte fonctionne ailleurs
8,"Pas mal du tout, je pensais être déçu.",positif,general,négation_positive,pas mal du tout je pensais être déçu,8,pas mal pensais déçu,pas mal pensais décevoir
9,Le remboursement est enfin arrivé après trois semaines.,mitigé,remboursement,opinion_mixte,le remboursement est enfin arrivé après trois semaines,8,remboursement enfin arrivé après trois semaines,rembourse enfin arriver après trois semaines
10,"Application claire, rapide et agréable à utiliser.",positif,application,simple,application claire rapide et agréable à utiliser,7,application claire rapide agréable utiliser,application claire rapide agréable utiliser
11,Mon colis a été livré à la mauvaise adresse.,négatif,livraison,problème,mon colis a été livré à la mauvaise adresse,9,colis été livré mauvaise adresse,colis éter livrer mauvaise adresse
12,Le technicien est intervenu dans les délais prévus.,positif,support,simple,le technicien est intervenu dans les délais prévus,8,technicien intervenu délais prévus,technicien intervenu délais prévus
13,Facture reçue par email.,neutre,administratif,factuel,facture reçue par email,4,facture reçue email,facture recevoir email
14,Je n'arrive pas à me connecter à mon compte depuis deux jours.,négatif,application,problème,je n'arrive pas à me connecter à mon compte depuis deux jours,12,n'arrive pas connecter compte depuis deux jours,n'arrive pas connecter compte depuis deux jours
15,Le produit correspond parfaitement à la description.,positif,produit,simple,le produit correspond parfaitement à la description,7,produit correspond parfaitement description,produit correspond parfaite description
16,Trop cher pour ce que c'est.,négatif,produit,opinion_mixte,trop cher pour ce que c'est,6,trop cher c'est,trop cher c'est
17,Remboursement effectué sous 5 jours ouvrés.,neutre,remboursement,factuel,remboursement effectué sous 5 jours ouvrés,5,remboursement effectué jours ouvrés,rembourse effectuer jours ouvréer
18,Franchement bluffé par la qualité de l'emballage.,positif,produit,simple,franchement bluffé par la qualité de l'emballage,7,franchement bluffé qualité l'emballage,franche bluffer qualiter l'emballage
19,Mon conseiller n'a pas su répondre à mes questions.,négatif,support,problème,mon conseiller n'a pas su répondre à mes questions,9,conseiller n'a pas su répondre questions,conseiller n'a pas su répondre questions
20,L'interface est intuitive mais il manque quelques fonctionnalités.,mitigé,application,opinion_mixte,l'interface est intuitive mais il manque quelques fonctionnalités,8,l'interface intuitive manque quelques fonctionnalités,l'interface intuitive manque quelques fonctionnalitéer
21,Bravo pour la rapidité de traitement de mon dossier !,positif,administratif,simple,bravo pour la rapidité de traitement de mon dossier,9,bravo rapidité traitement dossier,bravo rapiditer traite dossier
